parallax,l,b
-0.0655714479911057,335.17757652214374,-4.013744386136233
-0.0277930640465296,335.1963480013999,-3.959210248130381
-1.0688405155235374,334.547370164152,-3.207016575553723
-0.0252570327978343,335.2218794623974,-3.858438917558854
-0.3114648707831903,335.49570787892776,-3.718143345960892
-0.0358018846614822,335.2180259606175,-3.704516165458831
-0.0444312081382259,335.1189510972296,-3.525984580840678
-0.0767654760243247,335.73677883056695,-3.743946577629079
4.361049617262511,102.54072555294532,22.150771911791946
-0.0048958644491712,335.06017784704085,-3.451735518403209
-0.0305006252809384,334.94866643330414,-3.3736330420810083
-0.0037372202491629,331.71959522027817,-15.404272601322791
-0.5925978292716948,335.8060217686342,-3.6156436678360384
-0.0113104517611472,104.54644235828628,27.820532334164223
3.8487472729914542,101.33975137281,25.568407151650742
-0.3813337946334008,335.70573794318125,-3.4747587216208995
-0.0786915732662118,331.7939739993277,-14.812107768085346
-0.5559846586688366,105.20143242608094,25.736993349319405
4.481269280704405,105.13538368525572,14.431054974032891
5.3571654662221455,333.50258791750764,-14.510418506042484
-0.0033736945221415,331.6645260866603,-13.285400304169372
3.647845264009686,102.82761513519156,26.384530840547203
-1.176070654236726,325.1160791383665,6.9598188314141405
-0.0129469014415263,326.1596045264538,6.9808256503982005
-0.0478076076632006,324.9087582158103,7.127071321272107
-0.0775420266651367,359.7572909162184,13.054951707090114
-0.1066136720522443,324.7221734828668,7.231296997458804
-0.0442981598530706,325.5164899662971,7.660054667139327
-0.0044223056578481,333.1061492820912,-10.05350361790393
-0.2682588144532457,333.3518443793293,-10.015375403434923
-0.3534506753652389,332.5777874444548,-9.038582094537489
-0.2005159691620918,359.41571886190025,12.724388834160926
-0.2081092950030793,333.22224280130587,-9.62150486068308
-0.1774326032729312,359.9023735364288,12.27002722179611
-0.1223552028208353,333.4751070695221,-9.488674180168797
-0.4058737236172428,351.0042423960894,-5.051878202885338
-0.0984441532798666,333.77664452319124,-9.007444739244178
-0.3515756445264062,351.15988994309885,-4.830906214069168
-0.2049736700121023,350.7622552668029,-4.800770461104451
-0.0326974611274322,334.0284009264712,-9.04775214555117
-0.0581400402787305,351.4530110512879,-5.512800131731717
-0.0201359042230525,287.6805274754692,-3.902108358625159
-0.070122660135008,351.74488216280344,-5.374215328962982
-0.0469207497136618,351.42959744352515,-5.242221749016282
-0.0398187848296192,288.17364885452446,-2.8335914771352426
-0.4669668365713823,334.01669352981645,-8.811305604391304
-0.0076805222649933,287.3409801175153,-3.408797192943135
-0.1174613870503914,350.73113597535087,-4.823505635341566
-0.0238111840333567,350.7765564308639,-4.877415138648071
-0.0229896170716402,351.58779644841326,-5.232558025794557
-0.1024820607662732,350.49000508579485,-4.7714621249050895
-0.1716380024649581,288.1827223796056,-2.978567600001794
-0.239192740163689,351.37044697507525,-4.676527608664151
-0.0740351044414301,350.9522953746751,-5.0528267709198085
-0.313333735915861,288.11785843422746,-2.9782459480667565
-0.1498186277804453,350.44307776548,-5.01828470885725
-1.9836927746123012,351.32636106055105,-5.20337018611092
-0.0428462202027617,351.07980145249616,-5.413494830656906
-0.0179211084299222,287.92505644135764,-2.6322580147456
-0.0209801149338199,350.442787261924,-4.63031722455261
-0.0260230712377919,350.5641002778264,-4.695181375817936
-0.0087758486911489,254.93725623439275,1.9139908730440425
-0.2670431666613958,287.8201099893117,-2.5651505526643423
-0.0463831008535803,350.49219013038123,-4.865367645232001
-1.6666350715221014,351.0814613987514,-4.627275902212936
-0.0193699062861798,288.5226867551898,-2.691990297430224
-0.0150608304301986,288.5505194035852,-3.263047970833988
